"id","text","created_at","retweet_count","lang"
874278660735328300,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:54:10 +0000 2017",54,"en"
874278513922146300,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:53:35 +0000 2017",54,"en"
874278194920247300,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:52:19 +0000 2017",54,"en"
874278138561298400,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:52:06 +0000 2017",54,"en"
874277505112342500,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:49:35 +0000 2017",54,"en"
874277375139336200,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:49:04 +0000 2017",54,"en"
874277230712631300,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:48:29 +0000 2017",54,"en"
874277157446594600,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:48:12 +0000 2017",54,"en"
874277029901996000,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:47:41 +0000 2017",54,"en"
874277029503537200,"Due to recent success our @Airbnb net is widening to include all of our @UniWestScotland Residences. Ideal for grou… https://t.co/pDqi0VKHCR","Mon Jun 12 14:47:41 +0000 2017",2,"en"
874276819687657500,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:46:51 +0000 2017",54,"en"
874276513860005900,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:45:38 +0000 2017",54,"en"
874276384801263600,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:45:08 +0000 2017",54,"en"
874276374344814600,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:45:05 +0000 2017",54,"en"
874276358645526500,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:45:01 +0000 2017",54,"en"
874276344300830700,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:44:58 +0000 2017",54,"en"
874276276042944500,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:44:42 +0000 2017",54,"en"
874276176835088400,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:44:18 +0000 2017",54,"en"
874276163052462100,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:44:15 +0000 2017",54,"en"
874276076498956300,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:43:54 +0000 2017",54,"en"
874276035793084400,"RT @Refugees: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.c…","Mon Jun 12 14:43:44 +0000 2017",54,"en"
874275905383936000,"New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.co/eqPcPlReqm","Mon Jun 12 14:43:13 +0000 2017",54,"en"
874271989132918800,"#airbnb 20 days without access to my account guests left no pay from @Airbnb empty promises don't have hope they fix it have to do something","Mon Jun 12 14:27:40 +0000 2017",0,"en"
874258974702547000,"RT @GisellaLomax: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https:/…","Mon Jun 12 13:35:57 +0000 2017",3,"en"
